,EventTemplate,Occurrences
0,IOThunderboltSwitch<{switch_index}>({switch_address})::listenerCallback - Thunderbolt HPD packet for route = {route} port = {port} unplug = {unplug},36
1,Thermal pressure state: {variable1} Memory pressure state: {variable2},39
2,FA||Url||taskID[{taskID}] dealloc,16
3,ARPT: {timestamp}: AirPort_Brcm43xx::syncPowerState: WWEN[{enabled}],12
4,ARPT: {timestamp}: AirPort_Brcm43xx::platformWoWEnable: WWEN[{status}],19
5,mDNS_DeregisterInterface: Frequent transitions for interface {interface} ({address}),2
6,"ARPT: {timestamp}: IOPMPowerSource Information: {event}, SleepType: {sleep_type}, 'ExternalConnected': {external_connected}, 'TimeRemaining': {time_remaining},",15
7,"ARPT: {timestamp}: {interface}: wl_update_tcpkeep_seq: Original Seq: {seq_num}, Ack: {ack_num}, Win size: {win_size}",4
8,ARPT: {timestamp}: ARPT: Wake Reason: {reason},8
9,__[Number]-[String observeValueForKeyPath:String ofObject:AnyObject change:[Dictionary] context:AnyObject]_block_invoke [String] [String] [Number],16
10,IO80211AWDLPeerManager::setAwdlAutoMode {action} AWDL,15
11,"ARPT: {timestamp}: {interface}: MDNS: {num_srv_recs} SRV Recs, {num_txt_recs} TXT Recs",9
12,AppleCamIn::systemWakeCall - messageType = {messageType},56
13,"setting hostname to ""{hostname}""",7
14,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds. Ignoring.",45
15,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams {int},7
16,[{time}] <<<< {process} >>>> {function}: [{address}] {message},1
17,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds. Ignoring.",29
18,AirPort: Link Down on {interface}. Reason {code} ({reason}).,12
19,"PM response took {time} ms ({code}, {service})",9
20,"ARPT: {timestamp}: {interface}: Roamed or switched channel, reason #{reason}, bssid {bssid}, last RSSI {RSSI}",2
21,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from {hexadecimal} to {hexadecimal},10
22,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds. Ignoring.",23
23,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode({boolean})",11
24,"network_reachability_changed : {reason}, netbiosd is shutting down",1
25,{}::captureLogRun() Exiting {}::captureLogRun,16
26,com.apple.Addres({pid}) deny {action} {path},23
27,ARPT: {timestamp}: {interface}: MDNS: IPV6 Addr: {ipv6_address},19
28,AirPort: Link Up on {interface},13
29,Sandbox: {process}(31229) {action}(1) {type} /{path},1
30,ARPT: {timestamp}: AirPort_Brcm43xx::platformWoWEnable: WWEN[{enable}],9
31,{}::{} - {} - took {} milliseconds,22
32,mDNS_DeregisterInterface: Frequent transitions for interface {interface} ({ip_address}),3
33,{}::waitForOk2Go2Sx - retries = {},11
34,"ARPT: {timestamp}: {interface}: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq {seq}, Ack {ack}, Win size {win_size}",6
35,{}::{}::postMessage {} changed,10
36,ARPT: {float}: ARPT: Wake Reason: {string},3
37,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds. Ignoring.",29
38,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = {intel_rp} dlla_reporting_supported = {dlla_reporting_supported},6
39,mDNS_RegisterInterface: Frequent transitions for interface {interface} ({address}),4
40,{}::{},17
41,"ARPT: {timestamp}: {interface}: setup_keepalive: Local port: {local_port}, Remote port: {remote_port}",8
42,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType={type} (null)/(null) opts={options} when={date} confidence={confidence} from=(null)/(null) (UABestAppSuggestionManager.m #319),3
43,en{interface}: channel changed to {channel},14
44,ARPT: {timestamp}: AQM agg results {result_code} len hi/lo: {length_hi} {length_lo} BAbitmap({bitmap_range}) {bitmap_values},7
45,"CCFile::captureLog Received Capture notice id: {id}, reason = {reason}",20
46,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from {old_mode} to {new_mode},19
47,Unrecognized attribute value: t:{attribute},8
48,Sandbox: {process}({pid}) {action}({result}) {category} {path},11
49,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code={errorCode} ""{errorMessage}"" UserInfo={{NSDescription={errorDescription}}}",12
50,"CFPasteboardRef CFPasteboardCreate({CFAllocatorRef}, {CFStringRef}) : failed to create global data",2
51,{:time} : BTLE scanner Powered On,8
52,button report: {hex_value},19
53,com.apple.Addres({pid}) deny {action} {resource},6
54,11:20:51.293 : BTLE discovered device with hash <{hash}>,1
55,"securityd_xpc_dictionary_handler cloudd[{process_id}] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""{error_description}"" ({error_code}: {error_message}) UserInfo={{NSDescription={error_description}}}",4
56,Location icon should now be in state '{state}',37
57,"ARPT: {timestamp}: {interface}: setup_keepalive: interval {interval}, retry_interval {retry_interval}, retry_count {retry_count}",11
58,ARPT: {timestamp}: {interface}: MDNS: IPV4 Addr: {ip_address},4
59,__[{thread}] [{class} {method}]_block_invoke {block} - {message} {error_code}. {error_type}{space}{ip_address},1
60,"Setting BTCoex Config: enable_2G:{}, profile_2g:{}, enable_5G:{}, profile_5G:{}",7
61,Captive: [CNInfoNetworkActive:{var1}] {var2}: SSID '{var3}' making interface primary (cache indicates network not captive),3
62,"com.apple.suggestions.harvest: {activity} told me to run this job; however, but the start time isn't for {time} seconds. Ignoring.",18
63,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] {reason}.,16
64,{:time} : Finished generating hashes,1
65,Captive: {string} {string}: {string},5
66,tcp_connection_destination_perform_socket_connect {port} connectx to {ip}:{destination_port}@{attempt} failed: [{error_code}] {error_message},1
67,"USBMSC Identifier (non-unique): {var1} {var2} {var3} {var4}, {var5}",12
68,CCXPCService::setStreamEventHandler Registered for notification callback.,2
69,[{timestamp}:WARNING:{filename}({line_number})] {error_message},1
70,Saw change in network reachability (isReachable={isReachable}),4
71,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: {WakeReason} ({WakeReasonCode}),8
72,en0: BSSID changed to {BSSID},16
73,dnssd_clientstub ConnectToServer: connect()-> No of tries: {tries},44
74,-[{class} {method}] using process name {process_name} as bundle ID (this is expected for daemons without bundle ID,9
75,"ARPT: {timestamp}: {interface}: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq {seq_num}, Ack {ack_num}, Win size {win_size}",1
76,"RTC: Maintenance {date_time}, sleep {date_time}",4
